Ano,PIB (em milhões),PIB_per_capita
1960,493.9,56.0
1961,516.1,58.0
1962,577.4,64.0
1963,597.4,66.0
1964,649.4,72.0
1965,756.3,84.0
1966,810.5,91.0
1967,907.1,102.0
1968,979.6,111.0
1969,1048.5,120.0
1970,1186.7,137.0
1971,1377.0,159.0
1972,1624.4,188.0
1973,1919.1,222.0
1974,2279.1,260.0
1975,2632.3,290.0
1976,3160.1,338.0
1977,4074.3,431.0
1978,5039.3,527.0
1979,6404.3,663.0
1980,8356.8,856.0
1981,10058.2,1021.0
1982,12147.0,1226.0
1983,15440.0,1551.0
1984,18948.9,1896.0
1985,23226.6,2317.0
1986,28332.5,2824.0
1987,33508.4,3341.0
1988,40045.8,3997.0
1989,47221.2,4720.0
1990,56691.9,5679.0
1991,65005.2,6527.0
1992,72957.5,7331.0
1993,76065.1,7634.0
1994,82468.7,8254.0
1995,89028.6,8880.0
1996,94351.6,9375.0
1997,102331.0,10123.0
1998,111353.4,10960.0
1999,119603.3,11705.0
2000,128414.4,12480.0
2001,135775.0,13102.0
2002,142554.3,13681.0
2003,146067.9,13966.0
2004,152248.4,14522.0
2005,158552.7,15095.0
2006,166260.5,15801.0
2007,175483.4,16645.0
2008,179102.8,16963.0
2009,175416.4,16598.0
2010,179860.4,17011.0
2011,176318.0,16674.0
2012,168538.8,16003.0
2013,170675.6,16295.0
2014,173186.7,16621.0
2015,179392.7,17279.0
2016,186380.7,17996.0
2017,195509.1,18908.0
2018,204997.6,19836.0
2019,214489.9,20715.0
2020,201032.7,19358.0
2021,216493.7,20801.0
2022,243957.1,23303.0
2023,267923.2,25328.0
2024,285189.3,26666.0
